Timestamp,PM2.5,PM10,NO2,Ozone,CO,SO2,Forecasted_AQI,latitude,longitude
2024-05-29 20:15:00,30.31,80.09,12.49,4.18,0.65,13.23,83.24,19.10078,72.87462
2024-05-29 20:30:00,30.49,80.04,11.74,3.93,0.68,13.28,83.38,19.10078,72.87462
2024-05-29 20:45:00,30.66,80.09,10.92,3.7,0.7,13.33,83.23,19.10078,72.87462
2024-05-29 21:00:00,30.84,80.26,10.08,3.5,0.72,13.38,83.28,19.10078,72.87462
2024-05-29 21:15:00,31.02,80.54,9.22,3.32,0.75,13.43,83.28,19.10078,72.87462
2024-05-29 21:30:00,31.21,80.93,8.37,3.16,0.77,13.48,83.08,19.10078,72.87462
2024-05-29 21:45:00,31.39,81.42,7.55,3.03,0.79,13.52,83.09,19.10078,72.87462
2024-05-29 22:00:00,31.56,81.98,6.78,2.92,0.81,13.56,82.85,19.10078,72.87462
2024-05-29 22:15:00,31.72,82.59,6.07,2.82,0.83,13.6,82.69,19.10078,72.87462
2024-05-29 22:30:00,31.87,83.22,5.44,2.74,0.85,13.64,82.79,19.10078,72.87462
2024-05-29 22:45:00,32.0,83.84,4.89,2.67,0.87,13.67,82.66,19.10078,72.87462
2024-05-29 23:00:00,32.1,84.41,4.42,2.61,0.88,13.69,82.59,19.10078,72.87462
2024-05-29 23:15:00,32.18,84.89,4.02,2.57,0.9,13.72,82.73,19.10078,72.87462
2024-05-29 23:30:00,32.23,85.26,3.7,2.54,0.91,13.75,82.9,19.10078,72.87462
2024-05-29 23:45:00,32.24,85.49,3.45,2.51,0.92,13.77,83.16,19.10078,72.87462
2024-05-30 00:00:00,32.22,85.55,3.24,2.5,0.93,13.8,83.49,19.10078,72.87462
2024-05-30 00:15:00,32.17,85.43,3.08,2.5,0.94,13.82,83.71,19.10078,72.87462
2024-05-30 00:30:00,32.08,85.12,2.94,2.52,0.94,13.85,83.94,19.10078,72.87462
2024-05-30 00:45:00,31.96,84.62,2.81,2.55,0.94,13.88,84.1,19.10078,72.87462
2024-05-30 01:00:00,31.8,83.93,2.68,2.59,0.94,13.92,84.22,19.10078,72.87462
2024-05-30 01:15:00,31.62,83.07,2.54,2.65,0.94,13.95,84.18,19.10078,72.87462
2024-05-30 01:30:00,31.41,82.06,2.39,2.71,0.94,13.99,83.98,19.10078,72.87462
2024-05-30 01:45:00,31.19,80.91,2.21,2.79,0.93,14.02,83.5,19.10078,72.87462
2024-05-30 02:00:00,30.95,79.67,2.0,2.88,0.92,14.06,82.98,19.10078,72.87462
2024-05-30 02:15:00,30.7,78.37,1.78,2.98,0.91,14.09,82.41,19.10078,72.87462
2024-05-30 02:30:00,30.45,77.03,1.53,3.07,0.9,14.12,81.72,19.10078,72.87462
2024-05-30 02:45:00,30.19,75.69,1.26,3.17,0.89,14.14,80.82,19.10078,72.87462
2024-05-30 03:00:00,29.95,74.38,0.99,3.26,0.88,14.16,79.72,19.10078,72.87462
2024-05-30 03:15:00,29.71,73.13,0.72,3.34,0.87,14.18,78.55,19.10078,72.87462
2024-05-30 03:30:00,29.49,71.98,0.46,3.4,0.85,14.19,77.34,19.10078,72.87462
2024-05-30 03:45:00,29.29,70.93,0.21,3.45,0.84,14.2,76.16,19.10078,72.87462
