Timestamp,PM2.5,PM10,NO2,Ozone,CO,SO2,Forecasted_AQI,latitude,longitude
2024-05-29 20:15:00,40.01,87.8,7.12,55.33,0.86,6.08,87.44,20.0073285,73.7762427
2024-05-29 20:30:00,40.39,88.03,7.15,54.72,0.86,6.05,88.48,20.0073285,73.7762427
2024-05-29 20:45:00,40.73,88.17,7.15,54.16,0.86,6.02,89.32,20.0073285,73.7762427
2024-05-29 21:00:00,41.0,88.22,7.14,53.63,0.86,5.99,89.84,20.0073285,73.7762427
2024-05-29 21:15:00,41.21,88.18,7.1,53.11,0.85,5.97,90.41,20.0073285,73.7762427
2024-05-29 21:30:00,41.35,88.05,7.06,52.59,0.85,5.95,90.73,20.0073285,73.7762427
2024-05-29 21:45:00,41.42,87.84,7.0,52.04,0.85,5.94,91.0,20.0073285,73.7762427
2024-05-29 22:00:00,41.43,87.54,6.93,51.47,0.84,5.92,91.22,20.0073285,73.7762427
2024-05-29 22:15:00,41.39,87.17,6.85,50.87,0.84,5.92,91.31,20.0073285,73.7762427
2024-05-29 22:30:00,41.29,86.73,6.78,50.22,0.83,5.91,91.45,20.0073285,73.7762427
2024-05-29 22:45:00,41.14,86.24,6.7,49.54,0.83,5.91,91.44,20.0073285,73.7762427
2024-05-29 23:00:00,40.96,85.69,6.62,48.83,0.82,5.9,91.45,20.0073285,73.7762427
2024-05-29 23:15:00,40.74,85.1,6.55,48.1,0.82,5.9,91.37,20.0073285,73.7762427
2024-05-29 23:30:00,40.5,84.47,6.48,47.36,0.81,5.9,91.31,20.0073285,73.7762427
2024-05-29 23:45:00,40.23,83.81,6.41,46.65,0.81,5.89,91.16,20.0073285,73.7762427
2024-05-30 00:00:00,39.95,83.11,6.35,45.96,0.8,5.89,91.01,20.0073285,73.7762427
2024-05-30 00:15:00,39.65,82.37,6.3,45.31,0.8,5.89,90.74,20.0073285,73.7762427
2024-05-30 00:30:00,39.33,81.59,6.25,44.73,0.8,5.88,90.49,20.0073285,73.7762427
2024-05-30 00:45:00,38.99,80.77,6.2,44.22,0.79,5.87,90.2,20.0073285,73.7762427
2024-05-30 01:00:00,38.63,79.9,6.16,43.79,0.79,5.86,89.76,20.0073285,73.7762427
